创作年份	歌名	作词	作曲	专辑	tags	备注
1915	送别	李叔同	约翰·庞德·奥特威			美国歌曲《梦见家和母亲》（Dreaming of Home and Mother）重新填词
1944	夜来香	黎锦光	黎锦光			
1946	夜上海	范烟桥	陈歌辛			
1983	铁血丹心	邓伟雄	顾嘉辉		OST	TVB电视剧《射雕英雄传》OST
1989	新长征路上的摇滚	崔健	崔健	新长征路上的摇滚		
1989	假行僧	崔健	崔健	新长征路上的摇滚		
1990	沧海一声笑	黄霑	黄霑			
1990	追梦人	罗大佑	罗大佑			
1992	爱的代价	李宗盛	李宗盛			
1993	笑红尘	厉曼婷	李宗盛		OST	电影《东方不败风云再起》OST
1995	久别的人	张藜	徐沛东			白雪
1996	霸王别姬	陈涛	冯晓泉			
1997	江山无限	邹静之	赵季平		OST	电视剧《康熙微服私访记》OST
1999	精忠报国	陈涛	张宏光	精忠报国		
1999	白鸽	伍佰	伍佰			
2002	蓝莲花	许巍	许巍			
2002	Andy	林秋离	吴剑泓			阿杜
2003	东风破	方文山	周杰伦			
2004	曾经的你	许巍	许巍			
2004	2002年的第一场雪	刀郎	刀郎			
2005	发如雪	方文山	周杰伦			
2005	天涯	王超	王超			爱乐团
2006	千里之外	方文山	周杰伦			
2006	菊花台	方文山	周杰伦			
2006	死而无憾	胡霖	王超			2008改名《因爱而生》
2006	西海情歌	刀郎	刀郎			曲调类似周传雄的《黄昏》
2006	德令哈一夜	刀郎	刀郎			
2006	拂袖	徐誉滕	徐誉滕		OST	电视剧《少年杨家将》OST
2007	青花瓷	方文山	周杰伦			
2007	月光	林文炫	胡彦斌			
2008	兰亭序	方文山	周杰伦			
2008	稻香	周杰伦	周杰伦			
2009	如果当时	许嵩	许嵩			
2009	清明雨上	许嵩	许嵩			
2009	庐州月	许嵩	许嵩			
2010	烟花易冷	方文山	周杰伦			
2011	画	赵雷	赵雷			
2011	黄玫瑰	刀郎	刀郎			
2012	红尘客栈	方文山	周杰伦			
2012	卜卦	陈立志				韩文歌曲《啦啦啦》重新填词
2014	半壶纱	刘珂矣	刘珂矣			
2014	平凡之路	朴树	朴树		OST	电影《飞驰人生》OST.[韩寒说平凡之路歌词哪些是他写的](https://www.douyin.com/zhuanti/7234658944516524087)
2015	千古	许嵩	许嵩		OST	电视剧《花千骨》OST
2015	悟空	戴荃	戴荃			
2016	缘分一道桥	方文山	王力宏			
2016	父亲写的散文诗	董玉方	许飞			
2016	阿刁	赵雷	赵雷			
2017	起风了	米果	高桥优			日文歌曲《ヤキモチ》重新填词
2017	声声慢	崔开潮	崔开潮			
2017	消愁	毛不易	毛不易			
2017	像我这样的人	毛不易	毛不易			
2017	一程山路	毛不易	毛不易			
2017	借	毛不易	毛不易			
2017	无问	毛不易	毛不易		OST	电影《无问西东》OST，毛不易
2018	不染	海雷	简弘亦		OST	电视剧《香蜜沉沉烬如霜》OST，毛不易
2018	牧马城市	段思思	谭旋		OST	电影《老男孩》OST，毛不易
2018	左手指月	喻江	萨顶顶			
2019	东北民谣	毛不易	毛不易			
2019	山河图	董宝石	董宝石			
2019	都是夜归人	陈佳明	陈佳明		OST	电影《深夜食堂》OST
2020	谪仙	王莹	王中易			
2020	瓜州渡	刀郎	刀郎	弹词话本		
2020	还魂伞	刀郎	刀郎	弹词话本		
2020	梨花落	刀郎	刀郎	弹词话本		
2021	海底	一支榴莲	一支榴莲			凤凰传奇版歌词改编：唐恬
2021	我的星座	刀郎	刀郎	世间的每个人		
2021	向着大海而行	刀郎	刀郎	世间的每个人		
2021	天地龙鳞	方文山	王力宏			
2021	这世界那么多人	王海涛	彭飞			
2021	不负人间	周仁	路柯			
2022	最伟大的作品	黄俊郎	周杰伦			
2022	还在流浪	方文山	周杰伦			
2022	红颜如霜	方文山	周杰伦			
2022	云山	唐恬	ZEEV			
2023	「山歌寥哉」序曲	刀郎	刀郎	山歌寥哉		
2023	罗刹海市	刀郎	刀郎	山歌寥哉		
2023	花妖	刀郎	刀郎	山歌寥哉		
2023	翩翩	刀郎	刀郎	山歌寥哉		
